,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA
Date,,,,,,,,,,,,,,,,,,
2022-01-03,21.515493392944336,61.16999816894531,1199.780029296875,21.770000457763672,61.16999816894531,1199.780029296875,21.8799991607666,61.56999969482422,1201.0699462890625,21.059999465942383,59.7400016784668,1136.0400390625,21.270000457763672,59.869998931884766,1147.75,110449000,20980200,34643800
2022-01-04,24.025800704956055,65.73999786376953,1149.5899658203125,24.309999465942383,65.73999786376953,1149.5899658203125,24.559999465942383,65.9800033569336,1208.0,22.420000076293945,61.959999084472656,1123.050048828125,22.520000457763672,61.959999084472656,1189.550048828125,311645200,44691300,33416100
2022-01-05,23.383398056030273,62.7400016784668,1088.1199951171875,23.65999984741211,62.7400016784668,1088.1199951171875,24.950000762939453,67.20999908447266,1170.3399658203125,23.469999313354492,62.599998474121094,1081.010009765625,24.059999465942383,65.5199966430664,1146.6500244140625,253540000,43578700,26706600
2022-01-06,24.17404556274414,62.869998931884766,1064.699951171875,24.459999084472656,62.869998931884766,1064.699951171875,24.6200008392334,63.5,1088.0,23.360000610351562,61.66999816894531,1020.5,24.09000015258789,63.16999816894531,1077.0,155058800,20650900,30112200
2022-01-07,24.154279708862305,62.27000045776367,1026.9599609375,24.440000534057617,62.27000045776367,1026.9599609375,24.90999984741211,63.90999984741211,1080.9300537109375,24.040000915527344,61.41999816894531,1010.0,24.670000076293945,63.810001373291016,1080.3699951171875,127017500,17136100,28054900
2022-01-10,23.571178436279297,61.06999969482422,1058.1199951171875,23.850000381469727,61.06999969482422,1058.1199951171875,24.440000534057617,62.0,1059.0999755859375,23.350000381469727,60.040000915527344,980.0,24.100000381469727,61.52000045776367,1000.0,122800700,18980400,30605000
2022-01-11,24.065332412719727,61.459999084472656,1064.4000244140625,24.350000381469727,61.459999084472656,1064.4000244140625,24.350000381469727,61.560001373291016,1075.8499755859375,23.280000686645508,60.150001525878906,1038.8199462890625,23.780000686645508,61.25,1053.6700439453125,106011600,16463800,22021100
2022-01-12,24.183929443359375,61.029998779296875,1106.219970703125,24.469999313354492,61.029998779296875,1106.219970703125,24.84000015258789,62.720001220703125,1114.8399658203125,24.010000228881836,59.63999938964844,1072.5899658203125,24.610000610351562,62.470001220703125,1078.8499755859375,104050000,20215000,27913000
2022-01-13,24.72749900817871,61.77000045776367,1031.56005859375,25.020000457763672,61.77000045776367,1031.56005859375,25.8700008392334,63.380001068115234,1115.5999755859375,24.3700008392334,61.150001525878906,1026.5400390625,24.639999389648438,61.45000076293945,1109.0699462890625,185780500,19283000,32403300
2022-01-14,24.895511627197266,61.099998474121094,1049.6099853515625,25.190000534057617,61.099998474121094,1049.6099853515625,25.280000686645508,61.77000045776367,1052.0,24.299999237060547,59.9900016784668,1013.3800048828125,24.469999313354492,61.099998474121094,1019.8800048828125,146012200,16180300,24308100
